Index,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
1,2.4779148658211834,-0.85688789,-0.847143932,-0.91676439,-0.620448325,0.8631542435217157,-1.217670042,-0.279733113,79.99
2,2.4779148658211834,-0.85688789,-0.847143932,-0.91676439,-0.620448325,1.0561641947097493,-1.217670042,-0.279733113,61.89
3,0.49142531024225244,0.795526491,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,3.553065687407415,40.27
4,0.49142531024225244,0.795526491,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,5.057676786792945,41.05
5,-0.790458793,0.6784079983992136,-0.847143932,0.4887927194301297,-1.039142815,0.070526711,0.6478840231915328,4.978486728930549,44.3
6,-0.145208692,0.46504361504823044,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,0.7022236043611485,47.03
7,0.9461638832061041,0.2447216974575414,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,5.057676786792945,43.7
8,0.9461638832061041,0.2447216974575414,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,-0.279733113,36.45
9,-0.145208692,0.46504361504823044,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,-0.279733113,45.85
10,1.8556410291338075,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,-0.279733113,39.29
11,-0.790458793,0.6784079983992136,-0.847143932,0.4887927194301297,-1.039142815,0.070526711,0.6478840231915328,0.7022236043611485,38.07
12,-0.790458793,0.6784079983992136,-0.847143932,0.4887927194301297,-1.039142815,0.070526711,0.6478840231915328,-0.279733113,28.02
13,1.4009024561699557,-0.306083097,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,3.553065687407415,43.01
14,-0.872790409,1.3463312854109866,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,0.7022236043611485,42.33
15,0.21858216646394144,0.024399779866852364,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,-0.279733113,47.81
16,0.9461638832061041,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,0.7022236043611485,52.91
17,-1.355291968,1.5712915591614798,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,0.7022236043611485,39.36
18,0.5823730248350227,-0.416244055,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,5.057676786792945,56.14
19,0.9461638832061041,0.2447216974575414,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,0.7022236043611485,40.56
20,1.8556410291338075,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,2.1276446458842817,42.62
21,1.4009024561699557,-0.306083097,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,2.1276446458842817,41.84
22,-1.355291968,1.5712915591614798,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,-0.279733113,28.24
23,-1.355291968,1.5712915591614798,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,-0.675683402,8.06
24,-1.355291968,1.5712915591614798,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,2.1276446458842817,44.21
25,0.9461638832061041,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,5.057676786792945,52.52
26,0.9461638832061041,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,3.553065687407415,53.3
27,0.9461638832061041,0.2447216974575414,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,3.553065687407415,41.15
28,0.5823730248350227,-0.416244055,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,2.1276446458842817,52.12
29,1.4009024561699557,-0.306083097,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,-0.279733113,37.43
30,1.8556410291338075,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,-0.612331356,38.6
31,0.21858216646394144,0.024399779866852364,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,5.057676786792945,55.26
32,-0.145208692,0.46504361504823044,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,5.057676786792945,52.91
33,-0.790458793,0.6784079983992136,-0.847143932,0.4887927194301297,-1.039142815,0.070526711,0.6478840231915328,2.1276446458842817,41.72
34,1.8556410291338075,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,3.553065687407415,42.13
35,-0.872790409,1.3463312854109866,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,5.057676786792945,53.69
36,-0.418051836,1.8971360793877092,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,3.553065687407415,38.41
37,-0.418051836,1.8971360793877092,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,-0.279733113,30.08
38,0.49142531024225244,0.795526491,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,0.7022236043611485,37.72
39,1.8556410291338075,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,0.7022236043611485,42.23
40,-0.418051836,1.8971360793877092,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,2.1276446458842817,36.25
41,0.5823730248350227,-0.416244055,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,0.7022236043611485,50.46
42,1.4009024561699557,-0.306083097,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,5.057676786792945,43.7
43,-0.418051836,1.8971360793877092,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,5.057676786792945,39
44,0.9461638832061041,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,2.1276446458842817,53.1
45,1.4009024561699557,-0.306083097,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,0.7022236043611485,41.54
46,1.4009024561699557,-0.306083097,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,-0.612331356,35.08
47,0.6493871303244325,-0.85688789,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,-0.675683402,15.05
48,0.9461638832061041,0.2447216974575414,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,2.1276446458842817,40.76
