Index,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),Concrete compressive strength(MPa), Calculated Concrete compressive strength
1,2.4779148658211834,-0.85688789,-0.847143932,-0.91676439,-0.620448325,0.8631542435217157,-1.217670042,-0.279733113,79.99,54.540662176613594
2,2.4779148658211834,-0.85688789,-0.847143932,-0.91676439,-0.620448325,1.0561641947097493,-1.217670042,-0.279733113,61.89,54.96364464782161
3,0.49142531024225244,0.795526491,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,3.553065687407415,40.27,58.605157702968874
4,0.49142531024225244,0.795526491,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,5.057676786792945,41.05,69.89779138110259
5,-0.790458793,0.6784079983992136,-0.847143932,0.4887927194301297,-1.039142815,0.070526711,0.6478840231915328,4.978486728930549,44.3,64.27166698624912
6,-0.145208692,0.46504361504823044,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,0.7022236043611485,47.03,27.4176308513744
7,0.9461638832061041,0.2447216974575414,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,5.057676786792945,43.7,70.265481795936
8,0.9461638832061041,0.2447216974575414,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,-0.279733113,36.45,30.20634969660395
9,-0.145208692,0.46504361504823044,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,-0.279733113,45.85,20.04770150453471
10,1.8556410291338075,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,-0.279733113,39.29,30.941730522273787
11,-0.790458793,0.6784079983992136,-0.847143932,0.4887927194301297,-1.039142815,0.070526711,0.6478840231915328,0.7022236043611485,38.07,32.176813374711166
12,-0.790458793,0.6784079983992136,-0.847143932,0.4887927194301297,-1.039142815,0.070526711,0.6478840231915328,-0.279733113,28.02,24.806884027871476
13,1.4009024561699557,-0.306083097,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,3.553065687407415,43.01,59.340538522820026
14,-0.872790409,1.3463312854109866,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,0.7022236043611485,42.33,26.829326191535536
15,0.21858216646394144,0.024399779866852364,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,-0.279733113,47.81,20.341853833956495
16,0.9461638832061041,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,0.7022236043611485,52.91,28.300087842395918
17,-1.355291968,1.5712915591614798,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,0.7022236043611485,39.36,35.27175584835587
18,0.5823730248350227,-0.416244055,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,5.057676786792945,56.14,60.69513826480251
19,0.9461638832061041,0.2447216974575414,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,0.7022236043611485,40.56,37.57627904344364
20,1.8556410291338075,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,2.1276446458842817,42.62,49.009944406292796
21,1.4009024561699557,-0.306083097,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-2.240917088,2.1276446458842817,41.84,48.64225398564071
22,-1.355291968,1.5712915591614798,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,-0.279733113,28.24,27.901826501516183
23,-1.355291968,1.5712915591614798,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,-0.675683402,8.06,24.93008079908568
24,-1.355291968,1.5712915591614798,-0.847143932,0.4887927194301297,-1.039142815,0.9532255540761313,0.4157816444854481,2.1276446458842817,44.21,45.970040385535185
25,0.9461638832061041,-0.85688789,-0.847143932,2.175461250700234,-1.039142815,-0.526517405,-1.292541777,5.057676786792945,52.52,60.989290594888274
